time,temperature,humidity,wind_speed,wind_direction,city,extracted_at
2025-12-09T00:00,25.6,82,14.2,97,Hyderabad,2025-12-09 10:39:55.239572
2025-12-09T01:00,25.5,82,15.1,102,Hyderabad,2025-12-09 10:39:55.239572
2025-12-09T02:00,25.8,79,17.8,104,Hyderabad,2025-12-09 10:39:55.239572
2025-12-09T03:00,25.8,74,19.6,104,Hyderabad,2025-12-09 10:39:55.239572
2025-12-09T04:00,25.7,72,19.7,105,Hyderabad,2025-12-09 10:39:55.239572
2025-12-09T05:00,25.6,74,19.0,105,Hyderabad,2025-12-09 10:39:55.239572
2025-12-09T06:00,25.7,73,19.1,106,Hyderabad,2025-12-09 10:39:55.239572
2025-12-09T07:00,25.8,73,19.2,107,Hyderabad,2025-12-09 10:39:55.239572
2025-12-09T08:00,26.1,71,19.4,108,Hyderabad,2025-12-09 10:39:55.239572
2025-12-09T09:00,26.6,68,21.5,111,Hyderabad,2025-12-09 10:39:55.239572
2025-12-09T10:00,27.2,67,22.8,111,Hyderabad,2025-12-09 10:39:55.239572
2025-12-09T11:00,28.0,64,22.5,110,Hyderabad,2025-12-09 10:39:55.239572
2025-12-09T12:00,28.2,63,23.3,110,Hyderabad,2025-12-09 10:39:55.239572
2025-12-09T13:00,28.1,64,22.3,111,Hyderabad,2025-12-09 10:39:55.239572
2025-12-09T14:00,28.0,66,21.0,112,Hyderabad,2025-12-09 10:39:55.239572
2025-12-09T15:00,27.7,67,19.6,110,Hyderabad,2025-12-09 10:39:55.239572
2025-12-09T16:00,27.2,69,19.0,109,Hyderabad,2025-12-09 10:39:55.239572
2025-12-09T17:00,26.6,73,14.4,103,Hyderabad,2025-12-09 10:39:55.239572
2025-12-09T18:00,26.1,76,13.6,101,Hyderabad,2025-12-09 10:39:55.239572
2025-12-09T19:00,26.0,78,13.8,97,Hyderabad,2025-12-09 10:39:55.239572
2025-12-09T20:00,26.0,78,15.2,95,Hyderabad,2025-12-09 10:39:55.239572
2025-12-09T21:00,25.8,80,14.0,91,Hyderabad,2025-12-09 10:39:55.239572
2025-12-09T22:00,25.7,80,13.7,90,Hyderabad,2025-12-09 10:39:55.239572
2025-12-09T23:00,25.5,82,14.0,90,Hyderabad,2025-12-09 10:39:55.239572
